profile,finalized_column,layer_id,edge_id,column,shift,final_forward_valid_cycle
BG2_full,1,13,1,1,125,227
BG2_full,1,14,0,1,19,227
BG2_full,1,16,0,1,87,227
BG2_full,1,17,0,1,158,227
BG2_full,1,19,1,1,42,227
BG2_full,1,20,0,1,76,227
BG2_full,1,22,0,1,20,227
BG2_full,1,24,0,1,182,227
BG2_full,1,28,0,1,70,227
BG2_full,1,31,0,1,3,227
BG2_full,1,35,0,1,77,227
BG2_full,1,38,0,1,84,227
BG2_full,1,41,0,1,147,227
BG2_full,2,0,2,2,166,223
BG2_full,2,3,1,2,175,223
BG2_full,2,22,1,2,52,223
BG2_full,2,24,1,2,153,223
BG2_full,2,26,0,2,67,223
BG2_full,2,28,1,2,111,223
BG2_full,2,30,0,2,120,223
BG2_full,2,33,0,2,165,223
BG2_full,2,36,1,2,151,223
BG2_full,2,40,0,2,103,223
BG2_full,3,0,3,3,66,155
BG2_full,3,1,1,3,36,155
BG2_full,3,2,2,3,117,155
BG2_full,3,12,1,3,93,155
BG2_full,3,23,1,3,86,155
BG2_full,4,1,2,4,48,177
BG2_full,4,2,3,4,110,177
BG2_full,4,3,2,4,113,177
BG2_full,4,20,1,4,61,177
BG2_full,4,29,1,4,17,177
BG2_full,5,1,3,5,92,227
BG2_full,5,3,3,5,72,227
BG2_full,5,5,2,5,121,227
BG2_full,5,6,1,5,92,227
BG2_full,5,7,1,5,186,227
BG2_full,5,17,1,5,23,227
BG2_full,5,23,2,5,95,227
BG2_full,5,25,1,5,21,227
BG2_full,5,28,2,5,168,227
BG2_full,5,30,1,5,154,227
BG2_full,5,32,1,5,8,227
BG2_full,5,35,1,5,184,227
BG2_full,5,38,1,5,151,227
BG2_full,5,41,1,5,7,227
BG2_full,6,0,4,6,71,170
BG2_full,6,1,4,6,31,170
BG2_full,6,3,4,6,123,170
BG2_full,6,10,2,6,22,170
BG2_full,6,14,1,6,118,170
BG2_full,6,18,1,6,6,170
BG2_full,6,27,1,6,50,170
BG2_full,7,1,5,7,187,218
BG2_full,7,3,5,7,118,218
BG2_full,7,5,3,7,80,218
BG2_full,7,6,2,7,100,218
BG2_full,7,7,2,7,16,218
BG2_full,7,10,3,7,52,218
BG2_full,7,11,1,7,92,218
BG2_full,7,18,2,7,46,218
BG2_full,7,26,1,7,137,218
BG2_full,7,30,2,7,52,218
BG2_full,7,33,1,7,179,218
BG2_full,7,36,2,7,170,218
BG2_full,7,39,1,7,132,218
BG2_full,8,1,6,8,185,148
BG2_full,8,2,4,8,114,148
BG2_full,8,3,6,8,28,148
BG2_full,8,9,1,8,132,148
BG2_full,8,13,2,8,35,148
BG2_full,8,21,1,8,175,148
BG2_full,9,0,5,9,172,183
BG2_full,9,1,7,9,3,183
BG2_full,9,3,7,9,186,183
BG2_full,9,6,3,9,49,183
BG2_full,9,11,2,9,174,183
BG2_full,9,16,1,9,177,183
BG2_full,9,24,2,9,64,183
BG2_full,9,30,3,9,56,183
BG2_full,10,0,6,10,0,223
BG2_full,10,2,5,10,1,223
BG2_full,10,3,8,10,0,223
BG2_full,10,9,2,10,185,223
BG2_full,10,15,1,10,63,223
BG2_full,10,19,2,10,156,223
BG2_full,10,33,2,10,124,223
BG2_full,10,37,0,10,37,223
BG2_full,10,40,1,10,107,223
BG2_full,11,0,7,11,0,228
BG2_full,11,1,8,11,0,228
BG2_full,11,4,2,11,29,228
BG2_full,11,5,4,11,48,228
BG2_full,11,6,4,11,184,228
BG2_full,11,7,3,11,102,228
BG2_full,11,9,3,11,178,228
BG2_full,11,12,2,11,11,228
BG2_full,11,14,2,11,21,228
BG2_full,11,15,2,11,81,228
BG2_full,11,16,2,11,135,228
BG2_full,11,17,2,11,9,228
BG2_full,11,20,2,11,153,228
BG2_full,11,35,2,11,18,228
BG2_full,11,38,2,11,190,228
BG2_full,11,41,2,11,60,228
BG2_full,12,1,9,12,0,221
BG2_full,12,2,6,12,0,221
BG2_full,12,8,2,12,152,221
BG2_full,12,16,3,12,64,221
BG2_full,12,17,3,12,6,221
BG2_full,12,26,2,12,55,221
BG2_full,12,32,2,12,17,221
BG2_full,12,34,1,12,177,221
BG2_full,12,39,2,12,57,221
BG2_full,13,2,7,13,0,224
BG2_full,13,3,9,13,0,224
BG2_full,13,7,4,13,143,224
BG2_full,13,11,3,13,154,224
BG2_full,13,13,3,13,166,224
BG2_full,13,14,3,13,163,224
BG2_full,13,21,2,13,67,224
BG2_full,13,26,3,13,85,224
BG2_full,13,31,1,13,170,224
BG2_full,13,34,2,13,12,224
BG2_full,13,37,1,13,31,224
BG2_full,13,40,2,13,163,224
BG2_full,14,4,3,14,0,45
BG2_full,15,5,5,15,0,53
BG2_full,16,6,5,16,0,61
BG2_full,17,7,5,17,0,68
BG2_full,18,8,3,18,0,73
BG2_full,19,9,4,19,0,82
BG2_full,20,10,4,20,0,89
BG2_full,21,11,4,21,0,98
BG2_full,22,12,3,22,0,99
BG2_full,23,13,4,23,0,106
BG2_full,24,14,4,24,0,113
BG2_full,25,15,3,25,0,117
BG2_full,26,16,4,26,0,124
BG2_full,27,17,4,27,0,134
BG2_full,28,18,3,28,0,135
BG2_full,29,19,3,29,0,141
BG2_full,30,20,3,30,0,146
BG2_full,31,21,3,31,0,149
BG2_full,32,22,2,32,0,154
BG2_full,33,23,3,33,0,156
BG2_full,34,24,3,34,0,161
BG2_full,35,25,2,35,0,164
BG2_full,36,26,4,36,0,169
BG2_full,37,27,2,37,0,171
BG2_full,38,28,3,38,0,175
BG2_full,39,29,2,39,0,178
BG2_full,40,30,4,40,0,186
BG2_full,41,31,2,41,0,185
BG2_full,42,32,3,42,0,190
BG2_full,43,33,3,43,0,192
BG2_full,44,34,3,44,0,200
BG2_full,45,35,3,45,0,201
BG2_full,46,36,3,46,0,209
BG2_full,47,37,2,47,0,210
BG2_full,48,38,3,48,0,217
BG2_full,49,39,3,49,0,221
BG2_full,50,40,3,50,0,224
BG2_full,51,41,3,51,0,228
