profile,base_graph,active_layers,S,Q,valid,decoder_iteration_cycles,total_qc_syndrome_work_items,first_finalized_column_cycle,last_finalized_column_cycle,maximum_syndrome_backlog,maximum_finalized_column_queue_occupancy,required_queue_depth,syndrome_engine_utilization,syndrome_completion_cycle,additional_tail_cycles,effective_iteration_boundary,selected_layer_order
BG2_full,2,all,4,4,False,228,197,45,228,91,10,10,0.239078,251,23,251,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,4,8,False,228,197,45,228,91,10,10,0.239078,251,23,251,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,4,16,True,228,197,45,228,91,10,10,0.239078,251,23,251,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,8,2,False,228,197,45,228,51,4,4,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,8,4,True,228,197,45,228,51,4,4,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,8,8,True,228,197,45,228,51,4,4,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,8,16,True,228,197,45,228,51,4,4,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,16,2,False,228,197,45,228,38,4,4,0.066196,231,3,231,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,16,4,True,228,197,45,228,38,4,4,0.066196,231,3,231,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,16,8,True,228,197,45,228,38,4,4,0.066196,231,3,231,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,16,16,True,228,197,45,228,38,4,4,0.066196,231,3,231,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
