stage,profile,config_name,EbN0_dB,seed_base,seed_count,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,blocks,requested_blocks,completed_requested_blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,max_iterations_observed,fraction_reaching_max_iterations,expected_latency_cycles,syndrome_pass_count,convergence_failures,undetected_errors,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count,saturation_block_fraction,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,saturation_rule,screen_rank,screen_quality_pass,screen_retained_top5,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_expected_latency_cycles
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,3-1-2-0,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.312000,0.055889,12,0.002000,467.088,500,0,0,5013,0,241,5680996,636587,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,8,True,False,1500,47,0.03133333,467.384
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,3-1-2-0,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.024000,0.023322,6,0.000000,297.776,500,0,0,19688,0,552,6415196,1002070,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,8,True,False,1500,47,0.03133333,467.384
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,2-1-0-3,73,8,8,True,1,74,500,500,True,43,0.08600000,0.06447314,0.11383981,3064,0.0007253788,8.606000,0.083878,12,0.120000,636.844,455,45,0,2782,0,171,5233926,559713,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,9,True,False,1500,43,0.02866667,467.828
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,2-1-0-3,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.330000,0.055501,11,0.000000,468.420,500,0,0,5013,0,301,5970903,787313,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,9,True,False,1500,43,0.02866667,467.828
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,2-1-0-3,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.030000,0.023222,6,0.000000,298.220,500,0,0,19688,0,815,6551709,1092053,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,9,True,False,1500,43,0.02866667,467.828
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-0-2-3,76,8,8,True,1,77,500,500,True,40,0.08000000,0.05929813,0.10710632,3019,0.0007147254,8.398000,0.085544,12,0.114000,646.646,458,42,0,2782,0,232,5392794,622656,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,10,True,False,1500,41,0.02733333,469.803
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,1-0-2-3,76,8,8,True,1,77,500,500,True,1,0.00200000,0.00035314,0.01124071,4,0.0000009470,6.118000,0.055627,12,0.002000,471.086,499,1,0,5013,0,466,6167742,867371,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,10,True,False,1500,41,0.02733333,469.803
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,1-0-2-3,76,8,8,True,1,77,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.788000,0.025912,6,0.000000,291.676,500,0,0,19688,0,930,6737178,1274275,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,10,True,False,1500,41,0.02733333,469.803
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,3-1-0-2,74,8,8,True,1,75,500,500,True,43,0.08600000,0.06447314,0.11383981,3145,0.0007445549,8.564000,0.084059,12,0.118000,642.300,457,43,0,2782,0,163,4867734,386896,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,11,True,False,1500,44,0.02933333,470.950
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,3-1-0-2,74,8,8,True,1,75,500,500,True,1,0.00200000,0.00035314,0.01124071,12,0.0000028409,6.298000,0.055575,12,0.002000,472.350,499,1,0,5013,0,456,5608503,623407,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,11,True,False,1500,44,0.02933333,470.950
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,3-1-0-2,74,8,8,True,1,75,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.976000,0.023664,6,0.000000,298.200,500,0,0,19688,0,720,6017304,820278,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,11,True,False,1500,44,0.02933333,470.950
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,2-1-3-0,75,8,8,True,1,76,500,500,True,42,0.08400000,0.06274414,0.11159931,3008,0.0007121212,8.632000,0.081230,12,0.114000,656.032,456,44,0,2782,0,194,5448042,581107,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,12,True,False,1500,42,0.02800000,482.752
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,2-1-3-0,75,8,8,True,1,76,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.376000,0.056672,12,0.004000,484.576,500,0,0,5013,0,530,6205014,861752,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,12,True,False,1500,42,0.02800000,482.752
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,2-1-3-0,75,8,8,True,1,76,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.048000,0.023760,6,0.000000,307.648,500,0,0,19688,0,999,6718773,1199969,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,12,True,False,1500,42,0.02800000,482.752
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,2-3-1-0,73,8,8,True,1,74,500,500,True,49,0.09800000,0.07492392,0.12720605,3329,0.0007881155,8.848000,0.080987,12,0.134000,654.752,448,52,0,2782,0,161,5280493,530875,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,13,True,False,1500,50,0.03333333,487.413
