label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
A_g0.5_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,3,6.000000,0-2-1-3,200,4,True,71
A_g0.5_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,4,8.000000,0-2-1-3,200,4,True,71
A_g0.5_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,5,10.000000,0-2-1-3,200,4,True,71
A_g0.5_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,6,12.000000,0-2-1-3,200,4,True,71
A_g0.5_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,7,14.000000,0-2-1-3,200,4,True,71
A_g0.527_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,4.750000,0.250000,4.750000,5,0.000000,0,4,0,9959,0,0,911,1.000000,2717.500000,0,4,0,10870,337.250,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,0,0.000000,0-2-1-3,200,4,True,71
A_g0.527_b1,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,172,0.0050899621,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,1,1.897533,0-2-1-3,200,4,True,71
A_g0.527_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,142,0.0042021780,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,2,3.795066,0-2-1-3,200,4,True,71
A_g0.527_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,142,0.0042021780,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,3,5.692600,0-2-1-3,200,4,True,71
A_g0.527_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,142,0.0042021780,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,4,7.590133,0-2-1-3,200,4,True,71
A_g0.527_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,142,0.0042021780,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,5,9.487666,0-2-1-3,200,4,True,71
A_g0.527_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,142,0.0042021780,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,6,11.385199,0-2-1-3,200,4,True,71
A_g0.527_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,142,0.0042021780,12.000000,0.000000,0.000000,12,1.000000,0,0,4,9959,0,0,0,1.000000,2489.750000,4,0,9959,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.527,7,13.282732,0-2-1-3,200,4,True,71
A_g0.75_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,4.250000,0.250000,4.250000,5,0.000000,0,4,0,22479,0,0,389,1.000000,5717.000000,0,4,0,22868,301.750,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0.000000,0-2-1-3,200,4,True,71
A_g0.75_b1,fixed,4.9,4,3,0.75000000,0.30064184,0.95441274,76,0.0022490530,11.500000,0.500000,10.000000,12,0.750000,0,1,3,22479,0,0,111,1.000000,5647.500000,3,1,16865,5725,816.500,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,1,1.333333,0-2-1-3,200,4,True,71
A_g0.75_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,180,0.0053267045,12.000000,0.000000,0.000000,12,1.000000,0,0,4,22479,0,0,0,1.000000,5619.750000,4,0,22479,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,2,2.666667,0-2-1-3,200,4,True,71
A_g0.75_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,167,0.0049419981,12.000000,0.000000,0.000000,12,1.000000,0,0,4,22479,0,0,0,1.000000,5619.750000,4,0,22479,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,3,4.000000,0-2-1-3,200,4,True,71
A_g0.75_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,166,0.0049124053,12.000000,0.000000,0.000000,12,1.000000,0,0,4,22479,0,0,0,1.000000,5619.750000,4,0,22479,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,4,5.333333,0-2-1-3,200,4,True,71
A_g0.75_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,166,0.0049124053,12.000000,0.000000,0.000000,12,1.000000,0,0,4,22479,0,0,0,1.000000,5619.750000,4,0,22479,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,5,6.666667,0-2-1-3,200,4,True,71
A_g0.75_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,166,0.0049124053,12.000000,0.000000,0.000000,12,1.000000,0,0,4,22479,0,0,0,1.000000,5619.750000,4,0,22479,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,6,8.000000,0-2-1-3,200,4,True,71
A_g0.75_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,166,0.0049124053,12.000000,0.000000,0.000000,12,1.000000,0,0,4,22479,0,0,0,1.000000,5619.750000,4,0,22479,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.75,7,9.333333,0-2-1-3,200,4,True,71
A_g1.0_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,4.750000,0.478714,4.750000,6,0.000000,0,4,0,29193,42,0,32716,1.000000,15487.750000,0,4,0,61951,337.250,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,0,0.000000,0-2-1-3,200,4,True,71
A_g1.0_b1,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,6.000000,0.408248,6.000000,7,0.000000,0,4,0,29193,0,0,3321,1.000000,8128.500000,0,4,0,32514,426.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,1,1.000000,0-2-1-3,200,4,True,71
A_g1.0_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,234,0.0069247159,12.000000,0.000000,0.000000,12,1.000000,0,0,4,29193,0,0,0,1.000000,7298.250000,4,0,29193,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,2,2.000000,0-2-1-3,200,4,True,71
A_g1.0_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,200,0.0059185606,12.000000,0.000000,0.000000,12,1.000000,0,0,4,29193,0,0,0,1.000000,7298.250000,4,0,29193,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,3,3.000000,0-2-1-3,200,4,True,71
A_g1.0_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,190,0.0056226326,12.000000,0.000000,0.000000,12,1.000000,0,0,4,29193,0,0,0,1.000000,7298.250000,4,0,29193,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,4,4.000000,0-2-1-3,200,4,True,71
A_g1.0_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,189,0.0055930398,12.000000,0.000000,0.000000,12,1.000000,0,0,4,29193,0,0,0,1.000000,7298.250000,4,0,29193,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,5,5.000000,0-2-1-3,200,4,True,71
A_g1.0_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,189,0.0055930398,12.000000,0.000000,0.000000,12,1.000000,0,0,4,29193,0,0,0,1.000000,7298.250000,4,0,29193,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,6,6.000000,0-2-1-3,200,4,True,71
A_g1.0_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,189,0.0055930398,12.000000,0.000000,0.000000,12,1.000000,0,0,4,29193,0,0,0,1.000000,7298.250000,4,0,29193,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.0,7,7.000000,0-2-1-3,200,4,True,71
A_g1.5_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,5.250000,0.250000,5.250000,6,0.000000,0,4,0,33518,15,0,23489,1.000000,14255.500000,0,4,0,57022,372.750,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,0,0.000000,0-2-1-3,200,4,True,71
A_g1.5_b1,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,5.250000,0.250000,5.250000,6,0.000000,0,4,0,33518,10,0,20644,1.000000,13543.000000,0,4,0,54172,372.750,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,1,0.666667,0-2-1-3,200,4,True,71
A_g1.5_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,233,0.0068951231,12.000000,0.000000,0.000000,12,1.000000,0,0,4,33518,0,0,0,1.000000,8379.500000,4,0,33518,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,2,1.333333,0-2-1-3,200,4,True,71
A_g1.5_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,266,0.0078716856,12.000000,0.000000,0.000000,12,1.000000,0,0,4,33518,0,0,0,1.000000,8379.500000,4,0,33518,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,3,2.000000,0-2-1-3,200,4,True,71
A_g1.5_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,224,0.0066287879,12.000000,0.000000,0.000000,12,1.000000,0,0,4,33518,0,0,0,1.000000,8379.500000,4,0,33518,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,4,2.666667,0-2-1-3,200,4,True,71
A_g1.5_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,219,0.0064808239,12.000000,0.000000,0.000000,12,1.000000,0,0,4,33518,0,0,0,1.000000,8379.500000,4,0,33518,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,5,3.333333,0-2-1-3,200,4,True,71
A_g1.5_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,215,0.0063624527,12.000000,0.000000,0.000000,12,1.000000,0,0,4,33518,0,0,0,1.000000,8379.500000,4,0,33518,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,6,4.000000,0-2-1-3,200,4,True,71
A_g1.5_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,213,0.0063032670,12.000000,0.000000,0.000000,12,1.000000,0,0,4,33518,0,0,0,1.000000,8379.500000,4,0,33518,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,1.5,7,4.666667,0-2-1-3,200,4,True,71
A_g2.0_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,6.750000,0.478714,6.750000,8,0.000000,0,4,0,34838,203,0,56545,1.000000,22896.500000,0,4,0,91586,479.250,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,2.0,0,0.000000,0-2-1-3,200,4,True,71
A_g2.0_b1,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,5.250000,0.250000,5.250000,6,0.000000,0,4,0,34838,0,0,5481,1.000000,10079.750000,0,4,0,40319,372.750,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,2.0,1,0.500000,0-2-1-3,200,4,True,71
A_g2.0_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,129,0.0038174716,12.000000,0.000000,0.000000,12,1.000000,0,0,4,34838,0,0,0,1.000000,8709.500000,4,0,34838,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,2.0,2,1.000000,0-2-1-3,200,4,True,71
A_g2.0_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,307,0.0090849905,12.000000,0.000000,0.000000,12,1.000000,0,0,4,34838,0,0,0,1.000000,8709.500000,4,0,34838,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,2.0,3,1.500000,0-2-1-3,200,4,True,71
