label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
E,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.500000,0.114708,3.500000,4,0.000000,0,20,0,152508,0,3513,0,1.000000,7801.050000,0,20,0,156021,248.500,852,high_rate_sweep,BG1_first4_high_rate,E,5,8,9,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
F,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.400000,0.112390,3.400000,4,0.000000,0,20,0,119924,29,219572,72782,1.000000,20615.350000,0,20,0,412307,241.400,852,high_rate_sweep,BG1_first4_high_rate,F,6,8,8,6,3.0,1,0.333333,0-2-1-3,200,20,True,71
G,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.400000,0.112390,3.400000,4,0.000000,0,20,0,119924,0,2154,0,1.000000,6103.900000,0,20,0,122078,241.400,852,high_rate_sweep,BG1_first4_high_rate,G,6,9,9,7,3.0,1,0.333333,0-2-1-3,200,20,True,71
WIDE,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.300000,0.105131,3.300000,4,0.000000,0,20,0,11,0,0,0,0.400000,0.550000,0,8,0,11,234.300,852,high_rate_sweep,BG1_first4_high_rate,WIDE,8,12,12,10,4.0,1,0.250000,0-2-1-3,200,20,True,71
float,float,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,2.950000,0.050000,2.950000,3,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,0,0,0,0,209.450,852,high_rate_sweep,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,20,True,71
A,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,2.950000,0.050000,2.950000,3,0.000000,0,20,0,139522,0,0,34732,1.000000,8712.700000,0,20,0,174254,209.450,852,high_rate_sweep,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
B,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,2.950000,0.050000,2.950000,3,0.000000,0,20,0,139522,0,2,0,1.000000,6976.200000,0,20,0,139524,209.450,852,high_rate_sweep,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
C,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.050000,0.050000,3.050000,4,0.000000,0,20,0,160211,2,0,56573,1.000000,10839.300000,0,20,0,216786,216.550,852,high_rate_sweep,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
D,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.050000,0.050000,3.050000,4,0.000000,0,20,0,160211,0,3991,9,1.000000,8210.550000,0,20,0,164211,216.550,852,high_rate_sweep,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
E,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.050000,0.050000,3.050000,4,0.000000,0,20,0,160211,0,3991,9,1.000000,8210.550000,0,20,0,164211,216.550,852,high_rate_sweep,BG1_first4_high_rate,E,5,8,9,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
F,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,20,0,133814,0,200390,33308,1.000000,18375.600000,0,20,0,367512,213.000,852,high_rate_sweep,BG1_first4_high_rate,F,6,8,8,6,3.0,1,0.333333,0-2-1-3,200,20,True,71
G,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,20,0,133814,0,0,0,1.000000,6690.700000,0,20,0,133814,213.000,852,high_rate_sweep,BG1_first4_high_rate,G,6,9,9,7,3.0,1,0.333333,0-2-1-3,200,20,True,71
WIDE,fixed,5.7,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,2.950000,0.050000,2.950000,3,0.000000,0,20,0,41,0,0,0,0.900000,2.050000,0,18,0,41,209.450,852,high_rate_sweep,BG1_first4_high_rate,WIDE,8,12,12,10,4.0,1,0.250000,0-2-1-3,200,20,True,71
